DATAFLOW,LAST UPDATE,freq,unit,nace_r2,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ORG_CPREACT(1.0),02/12/22 23:00:00,A,EUR,C105,MT,2018,0,
ESTAT:ORG_CPREACT(1.0),02/12/22 23:00:00,A,EUR,C105_PRC,BG,2018,1065157,
ESTAT:ORG_CPREACT(1.0),02/12/22 23:00:00,A,EUR,C105_PRC,BG,2019,802950,
ESTAT:ORG_CPREACT(1.0),02/12/22 23:00:00,A,EUR,C105_PRC,MT,2017,0,
ESTAT:ORG_CPREACT(1.0),02/12/22 23:00:00,A,EUR,C105_PRC,MT,2018,0,
ESTAT:ORG_CPREACT(1.0),02/12/22 23:00:00,A,EUR,C105_PRS,BG,2018,0,
ESTAT:ORG_CPREACT(1.0),02/12/22 23:00:00,A,EUR,C105_PRS,BG,2019,0,
ESTAT:ORG_CPREACT(1.0),02/12/22 23:00:00,A,EUR,C105_PRS,MT,2017,0,
ESTAT:ORG_CPREACT(1.0),02/12/22 23:00:00,A,EUR,C105_PRS,MT,2018,0,
ESTAT:ORG_CPREACT(1.0),02/12/22 23:00:00,A,EUR,C106,BG,2018,39784,
ESTAT:ORG_CPREACT(1.0),02/12/22 23:00:00,A,EUR,C106,BG,2019,14114,
ESTAT:ORG_CPREACT(1.0),02/12/22 23:00:00,A,EUR,C106,MT,2014,0,
ESTAT:ORG_CPREACT(1.0),02/12/22 23:00:00,A,EUR,C106,MT,2017,0,
ESTAT:ORG_CPREACT(1.0),02/12/22 23:00:00,A,EUR,C106,MT,2018,0,
ESTAT:ORG_CPREACT(1.0),02/12/22 23:00:00,A,EUR,C106_PRC,BG,2018,39784,
ESTAT:ORG_CPREACT(1.0),02/12/22 23:00:00,A,EUR,C106_PRC,BG,2019,14114,
ESTAT:ORG_CPREACT(1.0),02/12/22 23:00:00,A,EUR,C106_PRC,MT,2017,0,
ESTAT:ORG_CPREACT(1.0),02/12/22 23:00:00,A,EUR,C106_PRC,MT,2018,0,
ESTAT:ORG_CPREACT(1.0),02/12/22 23:00:00,A,EUR,C106_PRS,BG,2018,0,
ESTAT:ORG_CPREACT(1.0),02/12/22 23:00:00,A,EUR,C106_PRS,BG,2019,0,
ESTAT:ORG_CPREACT(1.0),02/12/22 23:00:00,A,EUR,C106_PRS,MT,2017,0,
