DATAFLOW,LAST UPDATE,freq,animals,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,DK,2016,120,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,DK,2017,182,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,DK,2018,158,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,DK,2019,162,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,DK,2020,434,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,EE,2012,1806,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,EE,2013,1958,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,EE,2014,1837,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,EE,2015,1471,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,EE,2016,1735,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,EE,2017,1795,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,EE,2018,1711,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,EE,2019,1612,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,EE,2020,1436,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,ES,2012,2689,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,ES,2013,2662,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,ES,2014,4153,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,ES,2015,5540,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,ES,2016,6644,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,ES,2017,6187,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,ES,2018,6573,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,ES,2019,7267,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,ES,2020,7664,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,FI,2012,69,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,FI,2013,19,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,FI,2014,18,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,FI,2015,23,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,FI,2018,8,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,FI,2019,8,d
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,FI,2020,37,d
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,FR,2012,2131,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,FR,2013,3939,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,FR,2014,2268,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,FR,2015,5783,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,FR,2016,2871,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,FR,2017,3524,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,FR,2018,4233,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,FR,2019,4439,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,FR,2020,4309,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,HR,2012,507,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,HR,2013,874,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,HR,2014,291,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,HR,2015,265,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,HR,2016,1753,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,HR,2017,1721,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,HR,2018,2088,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,HR,2019,2234,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,HR,2020,2551,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,HU,2012,178,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,IE,2012,542,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,IE,2013,138,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,IE,2015,77,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,IE,2017,426,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,IE,2019,736,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,IE,2020,565,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,IS,2017,0,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,IT,2012,9663,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,IT,2013,13404,
